arm,lead,method,threshold_mmh,scale_km,fss
CorrDiff,60,model_m0,4,101,0.859458
CorrDiff,60,model_m0,8,1,0.165157
CorrDiff,60,model_m0,8,5,0.270309
CorrDiff,60,model_m0,8,11,0.370800
CorrDiff,60,model_m0,8,21,0.506659
CorrDiff,60,model_m0,8,51,0.698184
CorrDiff,60,model_m0,8,101,0.795166
CorrDiff,60,model_mean,0.5,1,0.654701
CorrDiff,60,model_mean,0.5,5,0.755915
CorrDiff,60,model_mean,0.5,11,0.813568
CorrDiff,60,model_mean,0.5,21,0.862503
CorrDiff,60,model_mean,0.5,51,0.918089
CorrDiff,60,model_mean,0.5,101,0.947279
CorrDiff,60,model_mean,1,1,0.594860
CorrDiff,60,model_mean,1,5,0.712809
CorrDiff,60,model_mean,1,11,0.781132
CorrDiff,60,model_mean,1,21,0.840112
CorrDiff,60,model_mean,1,51,0.908998
CorrDiff,60,model_mean,1,101,0.945598
CorrDiff,60,model_mean,2,1,0.481362
CorrDiff,60,model_mean,2,5,0.618606
CorrDiff,60,model_mean,2,11,0.701141
CorrDiff,60,model_mean,2,21,0.776052
CorrDiff,60,model_mean,2,51,0.867155
CorrDiff,60,model_mean,2,101,0.916482
CorrDiff,60,model_mean,4,1,0.346917
CorrDiff,60,model_mean,4,5,0.493442
CorrDiff,60,model_mean,4,11,0.583486
CorrDiff,60,model_mean,4,21,0.671468
CorrDiff,60,model_mean,4,51,0.785958
CorrDiff,60,model_mean,4,101,0.844534
CorrDiff,60,model_mean,8,1,0.222589
CorrDiff,60,model_mean,8,5,0.323558
CorrDiff,60,model_mean,8,11,0.395894
CorrDiff,60,model_mean,8,21,0.491735
CorrDiff,60,model_mean,8,51,0.610841
CorrDiff,60,model_mean,8,101,0.645442
CorrDiff,60,persistence,0.5,1,0.482536
CorrDiff,60,persistence,0.5,5,0.572623
CorrDiff,60,persistence,0.5,11,0.637068
CorrDiff,60,persistence,0.5,21,0.707571
CorrDiff,60,persistence,0.5,51,0.820363
CorrDiff,60,persistence,0.5,101,0.895493
